"vp";"nodd";"waveform";"N";"k";"prob"
"V01";"0,0";"sine";"48";"0";"0,0000000000000000"
"V01";"0,0";"tria";"48";"3";"0,0625000000000000"
"V01";"0,4";"sine";"48";"6";"0,1250000000000000"
"V01";"0,4";"tria";"48";"7";"0,1458333333333333"
"V01";"0,8";"sine";"48";"30";"0,6250000000000000"
"V01";"0,8";"tria";"48";"31";"0,6458333333333334"
"V01";"1,2";"sine";"48";"42";"0,8750000000000000"
"V01";"1,2";"tria";"48";"40";"0,8333333333333334"
"V01";"1,6";"sine";"48";"42";"0,8750000000000000"
"V01";"1,6";"tria";"48";"46";"0,9583333333333334"
"V01";"3,0";"sine";"48";"48";"1,0000000000000000"
"V01";"3,0";"tria";"48";"48";"1,0000000000000000"
"V02";"0,0";"sine";"48";"5";"0,1041666666666667"
"V02";"0,0";"tria";"48";"5";"0,1041666666666667"
"V02";"0,4";"sine";"48";"9";"0,1875000000000000"
"V02";"0,4";"tria";"48";"11";"0,2291666666666667"
"V02";"0,8";"sine";"48";"30";"0,6250000000000000"
"V02";"0,8";"tria";"48";"30";"0,6250000000000000"
"V02";"1,2";"sine";"48";"38";"0,7916666666666666"
"V02";"1,2";"tria";"48";"39";"0,8125000000000000"
"V02";"1,6";"sine";"48";"44";"0,9166666666666666"
"V02";"1,6";"tria";"48";"45";"0,9375000000000000"
"V02";"3,0";"sine";"48";"47";"0,9791666666666666"
"V02";"3,0";"tria";"48";"44";"0,9166666666666666"
"V03";"0,0";"sine";"48";"1";"0,0208333333333333"
"V03";"0,0";"tria";"48";"4";"0,0833333333333333"
"V03";"0,4";"sine";"48";"8";"0,1666666666666667"
"V03";"0,4";"tria";"48";"5";"0,1041666666666667"
"V03";"0,8";"sine";"48";"25";"0,5208333333333334"
"V03";"0,8";"tria";"48";"25";"0,5208333333333334"
"V03";"1,2";"sine";"48";"38";"0,7916666666666666"
"V03";"1,2";"tria";"48";"45";"0,9375000000000000"
"V03";"1,6";"sine";"48";"46";"0,9583333333333334"
"V03";"1,6";"tria";"48";"45";"0,9375000000000000"
"V03";"3,0";"sine";"48";"48";"1,0000000000000000"
"V03";"3,0";"tria";"48";"45";"0,9375000000000000"
"V04";"0,0";"sine";"48";"3";"0,0625000000000000"
"V04";"0,0";"tria";"48";"5";"0,1041666666666667"
"V04";"0,4";"sine";"48";"17";"0,3541666666666667"
"V04";"0,4";"tria";"48";"14";"0,2916666666666667"
"V04";"0,8";"sine";"48";"32";"0,6666666666666666"
"V04";"0,8";"tria";"48";"31";"0,6458333333333334"
"V04";"1,2";"sine";"48";"41";"0,8541666666666666"
"V04";"1,2";"tria";"48";"37";"0,7708333333333334"
"V04";"1,6";"sine";"48";"41";"0,8541666666666666"
"V04";"1,6";"tria";"48";"40";"0,8333333333333334"
"V04";"3,0";"sine";"48";"40";"0,8333333333333334"
"V04";"3,0";"tria";"48";"45";"0,9375000000000000"
"V05";"0,0";"sine";"48";"0";"0,0000000000000000"
"V05";"0,0";"tria";"48";"0";"0,0000000000000000"
"V05";"0,4";"sine";"48";"1";"0,0208333333333333"
"V05";"0,4";"tria";"48";"4";"0,0833333333333333"
"V05";"0,8";"sine";"48";"28";"0,5833333333333334"
"V05";"0,8";"tria";"48";"29";"0,6041666666666666"
"V05";"1,2";"sine";"48";"36";"0,7500000000000000"
"V05";"1,2";"tria";"48";"40";"0,8333333333333334"
"V05";"1,6";"sine";"48";"40";"0,8333333333333334"
"V05";"1,6";"tria";"48";"48";"1,0000000000000000"
"V05";"3,0";"sine";"48";"48";"1,0000000000000000"
"V05";"3,0";"tria";"48";"48";"1,0000000000000000"
"V06";"0,0";"sine";"48";"0";"0,0000000000000000"
"V06";"0,0";"tria";"48";"0";"0,0000000000000000"
"V06";"0,4";"sine";"48";"1";"0,0208333333333333"
"V06";"0,4";"tria";"48";"7";"0,1458333333333333"
"V06";"0,8";"sine";"48";"26";"0,5416666666666666"
"V06";"0,8";"tria";"48";"28";"0,5833333333333334"
"V06";"1,2";"sine";"48";"43";"0,8958333333333334"
"V06";"1,2";"tria";"48";"39";"0,8125000000000000"
"V06";"1,6";"sine";"48";"47";"0,9791666666666666"
"V06";"1,6";"tria";"48";"40";"0,8333333333333334"
"V06";"3,0";"sine";"48";"46";"0,9583333333333334"
"V06";"3,0";"tria";"48";"47";"0,9791666666666666"
"V07";"0,0";"sine";"48";"8";"0,1666666666666667"
"V07";"0,0";"tria";"48";"7";"0,1458333333333333"
"V07";"0,4";"sine";"48";"19";"0,3958333333333333"
"V07";"0,4";"tria";"48";"11";"0,2291666666666667"
"V07";"0,8";"sine";"48";"28";"0,5833333333333334"
"V07";"0,8";"tria";"48";"22";"0,4583333333333333"
"V07";"1,2";"sine";"48";"39";"0,8125000000000000"
"V07";"1,2";"tria";"48";"29";"0,6041666666666666"
"V07";"1,6";"sine";"48";"38";"0,7916666666666666"
"V07";"1,6";"tria";"48";"39";"0,8125000000000000"
"V07";"3,0";"sine";"48";"38";"0,7916666666666666"
"V07";"3,0";"tria";"48";"36";"0,7500000000000000"
"V08";"0,0";"sine";"48";"0";"0,0000000000000000"
"V08";"0,0";"tria";"48";"1";"0,0208333333333333"
"V08";"0,4";"sine";"48";"7";"0,1458333333333333"
"V08";"0,4";"tria";"48";"4";"0,0833333333333333"
"V08";"0,8";"sine";"48";"22";"0,4583333333333333"
"V08";"0,8";"tria";"48";"22";"0,4583333333333333"
"V08";"1,2";"sine";"48";"32";"0,6666666666666666"
"V08";"1,2";"tria";"48";"28";"0,5833333333333334"
"V08";"1,6";"sine";"48";"35";"0,7291666666666666"
"V08";"1,6";"tria";"48";"33";"0,6875000000000000"
"V08";"3,0";"sine";"48";"37";"0,7708333333333334"
"V08";"3,0";"tria";"48";"39";"0,8125000000000000"
"V09";"0,0";"sine";"48";"5";"0,1041666666666667"
"V09";"0,0";"tria";"48";"5";"0,1041666666666667"
"V09";"0,4";"sine";"48";"13";"0,2708333333333333"
"V09";"0,4";"tria";"48";"17";"0,3541666666666667"
"V09";"0,8";"sine";"48";"29";"0,6041666666666666"
"V09";"0,8";"tria";"48";"31";"0,6458333333333334"
"V09";"1,2";"sine";"48";"39";"0,8125000000000000"
"V09";"1,2";"tria";"48";"41";"0,8541666666666666"
"V09";"1,6";"sine";"48";"44";"0,9166666666666666"
"V09";"1,6";"tria";"48";"45";"0,9375000000000000"
"V09";"3,0";"sine";"48";"46";"0,9583333333333334"
"V09";"3,0";"tria";"48";"44";"0,9166666666666666"
"V11";"0,0";"sine";"48";"2";"0,0416666666666667"
"V11";"0,0";"tria";"48";"5";"0,1041666666666667"
"V11";"0,4";"sine";"48";"5";"0,1041666666666667"
"V11";"0,4";"tria";"48";"11";"0,2291666666666667"
"V11";"0,8";"sine";"48";"39";"0,8125000000000000"
"V11";"0,8";"tria";"48";"39";"0,8125000000000000"
"V11";"1,2";"sine";"48";"43";"0,8958333333333334"
"V11";"1,2";"tria";"48";"41";"0,8541666666666666"
"V11";"1,6";"sine";"48";"43";"0,8958333333333334"
"V11";"1,6";"tria";"48";"43";"0,8958333333333334"
"V11";"3,0";"sine";"48";"47";"0,9791666666666666"
"V11";"3,0";"tria";"48";"45";"0,9375000000000000"
"V12";"0,0";"sine";"48";"1";"0,0208333333333333"
"V12";"0,0";"tria";"48";"4";"0,0833333333333333"
"V12";"0,4";"sine";"48";"7";"0,1458333333333333"
"V12";"0,4";"tria";"48";"9";"0,1875000000000000"
"V12";"0,8";"sine";"48";"27";"0,5625000000000000"
"V12";"0,8";"tria";"48";"17";"0,3541666666666667"
