"vp";"waveform";"parn";"par"
"V01";"sine";"p1";"0,69705443963455815"
"V01";"sine";"p2";"0,26663745862158839"
"V01";"sine";"p3";"0,00000000000000000"
"V01";"sine";"p4";"0,07025043344484116"
"V01";"tria";"p1";"0,75464446626027915"
"V01";"tria";"p2";"0,44166166420800562"
"V01";"tria";"p3";"0,00976685961544973"
"V01";"tria";"p4";"0,00000000000000000"
"V02";"sine";"p1";"0,75427780419204615"
"V02";"sine";"p2";"0,48642523824488537"
"V02";"sine";"p3";"0,03533608593410610"
"V02";"sine";"p4";"0,02699194434217872"
"V02";"tria";"p1";"0,70502725761579221"
"V02";"tria";"p2";"0,37783016338036801"
"V02";"tria";"p3";"0,07329604076317986"
"V02";"tria";"p4";"0,07487921163025554"
"V03";"sine";"p1";"0,82024996839195341"
"V03";"sine";"p2";"0,43735563196140165"
"V03";"sine";"p3";"0,00000000000000000"
"V03";"sine";"p4";"0,00000000000000000"
"V03";"tria";"p1";"0,79547692604004516"
"V03";"tria";"p2";"0,17054880011741158"
"V03";"tria";"p3";"0,08895113454709785"
"V03";"tria";"p4";"0,06027315911533604"
"V04";"sine";"p1";"0,49288758511816388"
"V04";"sine";"p2";"0,34952350707438740"
"V04";"sine";"p3";"0,00000000000000000"
"V04";"sine";"p4";"0,14973449987771234"
"V04";"tria";"p1";"0,61519731985693804"
"V04";"tria";"p2";"0,53742763754628220"
"V04";"tria";"p3";"0,00000000000000000"
"V04";"tria";"p4";"0,09088748580686928"
"V05";"sine";"p1";"0,72819600097718873"
"V05";"sine";"p2";"0,17119579864036222"
"V05";"sine";"p3";"0,00000000000000000"
"V05";"sine";"p4";"0,13633442080074540"
"V05";"tria";"p1";"0,79882684930051240"
"V05";"tria";"p2";"0,32104575416490055"
"V05";"tria";"p3";"0,00000000000000000"
"V05";"tria";"p4";"0,00000000000000000"
"V06";"sine";"p1";"0,79136239669306163"
"V06";"sine";"p2";"0,21992057699292666"
"V06";"sine";"p3";"0,00000000000000000"
"V06";"sine";"p4";"0,03945177851050816"
"V06";"tria";"p1";"0,71158433748255756"
"V06";"tria";"p2";"0,30620471822577144"
"V06";"tria";"p3";"0,00000000000000000"
"V06";"tria";"p4";"0,10113653509621391"
"V07";"sine";"p1";"0,50965754496286386"
"V07";"sine";"p2";"0,42705156686957396"
"V07";"sine";"p3";"0,08728807183650118"
"V07";"sine";"p4";"0,19538269811506426"
"V07";"tria";"p1";"0,83034568144490184"
"V07";"tria";"p2";"0,43484937021126968"
"V07";"tria";"p3";"0,12780630776763913"
"V07";"tria";"p4";"0,22011495012916488"
"V08";"sine";"p1";"0,70444133772218553"
"V08";"sine";"p2";"0,31615255884989185"
"V08";"sine";"p3";"0,00000000000000000"
"V08";"sine";"p4";"0,25995255306499798"
"V08";"tria";"p1";"0,81622480415475906"
"V08";"tria";"p2";"0,42043437870941813"
"V08";"tria";"p3";"0,00000000000000000"
"V08";"tria";"p4";"0,23743048560330127"
"V09";"sine";"p1";"0,67492373653407722"
"V09";"sine";"p2";"0,50128655734246452"
"V09";"sine";"p3";"0,01737669399323168"
"V09";"sine";"p4";"0,04542542684801660"
"V09";"tria";"p1";"0,55146334420304066"
"V09";"tria";"p2";"0,45697736978087844"
"V09";"tria";"p3";"0,00000000000000000"
"V09";"tria";"p4";"0,07039866821856905"
"V11";"sine";"p1";"0,58101170973643634"
"V11";"sine";"p2";"0,00000000000000000"
"V11";"sine";"p3";"0,07292080165224495"
"V11";"sine";"p4";"0,10416917473915817"
"V11";"tria";"p1";"0,57797247731885870"
"V11";"tria";"p2";"0,17809862039881058"
"V11";"tria";"p3";"0,10360605073029409"
"V11";"tria";"p4";"0,10396707565101861"
"V12";"sine";"p1";"0,79143681978096114"
"V12";"sine";"p2";"0,42139350295242534"
"V12";"sine";"p3";"0,00000000000000000"
"V12";"sine";"p4";"0,07330138922348363"
"V12";"tria";"p1";"0,93091873245016132"
"V12";"tria";"p2";"0,46008002495900524"
"V12";"tria";"p3";"0,06658390104502200"
"V12";"tria";"p4";"0,07059327727309908"
"V14";"sine";"p1";"0,60377288540808327"
"V14";"sine";"p2";"0,19377408572381388"
"V14";"sine";"p3";"0,08099156217344389"
"V14";"sine";"p4";"0,01275333839534614"
"V14";"tria";"p1";"0,50440712233645568"
"V14";"tria";"p2";"0,29691661678651032"
"V14";"tria";"p3";"0,01808479531797174"
"V14";"tria";"p4";"0,01489241945922442"
"V16";"sine";"p1";"0,70886281639087312"
"V16";"sine";"p2";"0,23206093034180092"
"V16";"sine";"p3";"0,15603137657801538"
"V16";"sine";"p4";"0,06223116185664329"
"V16";"tria";"p1";"0,61829597971768091"
