"vp";"nodd";"waveform";"audiofreq";"N";"k";"p"
"V01";"0,0";"sine";"2000";"16";"0";"0,0000"
"V01";"0,0";"sine";"2200";"16";"0";"0,0000"
"V01";"0,0";"sine";"2400";"16";"0";"0,0000"
"V01";"0,0";"tria";"2000";"16";"3";"0,1875"
"V01";"0,0";"tria";"2200";"16";"0";"0,0000"
"V01";"0,0";"tria";"2400";"16";"0";"0,0000"
"V01";"0,4";"sine";"2000";"16";"3";"0,1875"
"V01";"0,4";"sine";"2200";"16";"2";"0,1250"
"V01";"0,4";"sine";"2400";"16";"1";"0,0625"
"V01";"0,4";"tria";"2000";"16";"4";"0,2500"
"V01";"0,4";"tria";"2200";"16";"1";"0,0625"
"V01";"0,4";"tria";"2400";"16";"2";"0,1250"
"V01";"0,8";"sine";"2000";"16";"10";"0,6250"
"V01";"0,8";"sine";"2200";"16";"9";"0,5625"
"V01";"0,8";"sine";"2400";"16";"11";"0,6875"
"V01";"0,8";"tria";"2000";"16";"11";"0,6875"
"V01";"0,8";"tria";"2200";"16";"10";"0,6250"
"V01";"0,8";"tria";"2400";"16";"10";"0,6250"
"V01";"1,2";"sine";"2000";"16";"13";"0,8125"
"V01";"1,2";"sine";"2200";"16";"14";"0,8750"
"V01";"1,2";"sine";"2400";"16";"15";"0,9375"
"V01";"1,2";"tria";"2000";"16";"14";"0,8750"
"V01";"1,2";"tria";"2200";"16";"12";"0,7500"
"V01";"1,2";"tria";"2400";"16";"14";"0,8750"
"V01";"1,6";"sine";"2000";"16";"13";"0,8125"
"V01";"1,6";"sine";"2200";"16";"13";"0,8125"
"V01";"1,6";"sine";"2400";"16";"16";"1,0000"
"V01";"1,6";"tria";"2000";"16";"16";"1,0000"
"V01";"1,6";"tria";"2200";"16";"15";"0,9375"
"V01";"1,6";"tria";"2400";"16";"15";"0,9375"
"V01";"3,0";"sine";"2000";"16";"16";"1,0000"
"V01";"3,0";"sine";"2200";"16";"16";"1,0000"
"V01";"3,0";"sine";"2400";"16";"16";"1,0000"
"V01";"3,0";"tria";"2000";"16";"16";"1,0000"
"V01";"3,0";"tria";"2200";"16";"16";"1,0000"
"V01";"3,0";"tria";"2400";"16";"16";"1,0000"
"V02";"0,0";"sine";"2000";"16";"1";"0,0625"
"V02";"0,0";"sine";"2200";"16";"3";"0,1875"
"V02";"0,0";"sine";"2400";"16";"1";"0,0625"
"V02";"0,0";"tria";"2000";"16";"1";"0,0625"
"V02";"0,0";"tria";"2200";"16";"2";"0,1250"
"V02";"0,0";"tria";"2400";"16";"2";"0,1250"
"V02";"0,4";"sine";"2000";"16";"3";"0,1875"
"V02";"0,4";"sine";"2200";"16";"4";"0,2500"
"V02";"0,4";"sine";"2400";"16";"2";"0,1250"
"V02";"0,4";"tria";"2000";"16";"5";"0,3125"
"V02";"0,4";"tria";"2200";"16";"2";"0,1250"
"V02";"0,4";"tria";"2400";"16";"4";"0,2500"
"V02";"0,8";"sine";"2000";"16";"9";"0,5625"
"V02";"0,8";"sine";"2200";"16";"9";"0,5625"
"V02";"0,8";"sine";"2400";"16";"12";"0,7500"
"V02";"0,8";"tria";"2000";"16";"12";"0,7500"
"V02";"0,8";"tria";"2200";"16";"9";"0,5625"
"V02";"0,8";"tria";"2400";"16";"9";"0,5625"
"V02";"1,2";"sine";"2000";"16";"13";"0,8125"
"V02";"1,2";"sine";"2200";"16";"13";"0,8125"
"V02";"1,2";"sine";"2400";"16";"12";"0,7500"
"V02";"1,2";"tria";"2000";"16";"12";"0,7500"
"V02";"1,2";"tria";"2200";"16";"13";"0,8125"
"V02";"1,2";"tria";"2400";"16";"14";"0,8750"
"V02";"1,6";"sine";"2000";"16";"16";"1,0000"
"V02";"1,6";"sine";"2200";"16";"16";"1,0000"
"V02";"1,6";"sine";"2400";"16";"12";"0,7500"
"V02";"1,6";"tria";"2000";"16";"16";"1,0000"
"V02";"1,6";"tria";"2200";"16";"15";"0,9375"
"V02";"1,6";"tria";"2400";"16";"14";"0,8750"
"V02";"3,0";"sine";"2000";"16";"16";"1,0000"
"V02";"3,0";"sine";"2200";"16";"15";"0,9375"
"V02";"3,0";"sine";"2400";"16";"16";"1,0000"
"V02";"3,0";"tria";"2000";"16";"15";"0,9375"
"V02";"3,0";"tria";"2200";"16";"14";"0,8750"
"V02";"3,0";"tria";"2400";"16";"15";"0,9375"
"V03";"0,0";"sine";"2000";"16";"0";"0,0000"
"V03";"0,0";"sine";"2200";"16";"1";"0,0625"
"V03";"0,0";"sine";"2400";"16";"0";"0,0000"
"V03";"0,0";"tria";"2000";"16";"1";"0,0625"
"V03";"0,0";"tria";"2200";"16";"1";"0,0625"
"V03";"0,0";"tria";"2400";"16";"2";"0,1250"
"V03";"0,4";"sine";"2000";"16";"3";"0,1875"
"V03";"0,4";"sine";"2200";"16";"2";"0,1250"
"V03";"0,4";"sine";"2400";"16";"3";"0,1875"
"V03";"0,4";"tria";"2000";"16";"1";"0,0625"
"V03";"0,4";"tria";"2200";"16";"2";"0,1250"
"V03";"0,4";"tria";"2400";"16";"2";"0,1250"
"V03";"0,8";"sine";"2000";"16";"10";"0,6250"
"V03";"0,8";"sine";"2200";"16";"8";"0,5000"
"V03";"0,8";"sine";"2400";"16";"7";"0,4375"
"V03";"0,8";"tria";"2000";"16";"8";"0,5000"
"V03";"0,8";"tria";"2200";"16";"8";"0,5000"
"V03";"0,8";"tria";"2400";"16";"9";"0,5625"
"V03";"1,2";"sine";"2000";"16";"12";"0,7500"
